Description,Class
General Waste Collection -for Q3 Period,Waste Disposal
Water Consumption -- South America,Water
Electric Utility Bill -for North America,Electricity
Grid Power Purchase -- European Operations,Electricity
Water Consumption -- Basel Site,Water
Gas Utility Bill -,Heating
Solid Waste Management Fee -in Manufacturing Plant,Waste Disposal
Industrial Waste Pickup -in Q3 Period,Waste Disposal
Natural Gas Supply -- Manufacturing Plant,Heating
Hazardous Waste Disposal -in Asia Pacific,Waste Disposal
Water Quality Testing Fee,Other
Water Consumption -for Basel Site,Water
Water Consumption -,Water
Fuel Oil Delivery -,Heating
Municipal Water Charge -in European Operations,Water
Water Consumption -in Year-End,Water
Chemical Waste Disposal -,Waste Disposal
Heating Fuel Purchase -for North America,Heating
Water Supply -in Global HQ,Water
Water Consumption -for Global HQ,Water
Medical Waste Collection -- North America,Waste Disposal
Heating Fuel Purchase -in Distribution Center,Heating
Potable Water Supply -in Distribution Center,Water
Potable Water Supply -- Year-End,Water
Grid Power Purchase -in Monthey Facility,Electricity
Non-Hazardous Waste Disposal -in North America,Waste Disposal
Electricity Supply -in Monthey Facility,Electricity
Power Quality Audit Service,Other
Electric Utility Bill -- Year-End,Electricity
Solid Waste Management Fee -in European Operations,Waste Disposal
Raw Water Intake -in R&D Center,Water
Heating Expense -,Heating
Natural Gas Supply -for North America,Heating
Waste Management Consulting Service,Other
Electricity Meter Reading -- South America,Electricity
Water Utility Bill -in Asia Pacific,Water
Monthly Power Usage -in European Operations,Electricity
Electricity Meter Reading -in North America,Electricity
Water Utility Bill -for Monthey Facility,Water
Bulk Water Purchase -for North America,Water
Monthly Water Usage -- Basel Site,Water
Chemical Waste Disposal -for R&D Center,Waste Disposal
Raw Water Intake -,Water
Grid Infrastructure Consulting Fee,Other
KWh Consumption -- European Operations,Electricity
Steam Generation Gas -for Monthey Facility,Heating
Recycling Services -- Asia Pacific,Waste Disposal
Hazardous Waste Disposal -for R&D Center,Waste Disposal
Hazardous Waste Disposal -for Distribution Center,Waste Disposal
Solid Waste Management Fee -in Manufacturing Plant,Waste Disposal
Industrial Waste Pickup -- Asia Pacific,Waste Disposal
Solid Waste Management Fee -for Manufacturing Plant,Waste Disposal
Propane Supply -for Distribution Center,Heating
KWh Consumption -in Global HQ,Electricity
Bulk Water Purchase -- Monthey Facility,Water
Grid Power Purchase -for South America,Electricity
Gas Utility Bill -for R&D Center,Heating
Legal Fees - Patent Litigation,Other
Electric Utility Bill -in Q3 Period,Electricity
Non-Hazardous Waste Disposal -- Asia Pacific,Waste Disposal
Recycling Services -- Monthey Facility,Waste Disposal
Monthly Water Usage -- Global HQ,Water
Fuel Oil Delivery -,Heating
Hazardous Waste Disposal -,Waste Disposal
Medical Waste Collection -,Waste Disposal
Gas Utility Bill -- South America,Heating
Electricity Supply -,Electricity
Electricity Supply -in R&D Center,Electricity
Gas Utility Bill -for Global HQ,Heating
Marketing Campaign - Digital Ads,Other
Non-Hazardous Waste Disposal -in South America,Waste Disposal
Energy Supply Charge -for South America,Electricity
Utility Meter Calibration,Other
Environmental Impact Assessment,Other
Non-Hazardous Waste Disposal -in R&D Center,Waste Disposal
Propane Supply -- Asia Pacific,Heating
Electric Utility Bill -in North America,Electricity
Grid Power Purchase -for Manufacturing Plant,Electricity
Winter Heating Usage -,Heating
Electricity Meter Reading -,Electricity
Propane Supply -,Heating
Gas Utility Bill -- North America,Heating
Potable Water Supply -- European Operations,Water
Grid Power Purchase -in South America,Electricity
Water Supply -,Water
Hazardous Waste Disposal -in R&D Center,Waste Disposal
Lighting System Replacement,Other
Water Utility Bill -for Basel Site,Water
Solid Waste Management Fee -- Global HQ,Waste Disposal
Potable Water Supply -,Water
Fuel Oil Delivery -in European Operations,Heating
Insurance Premium - General Liability,Other
Monthly Power Usage -- Global HQ,Electricity
Gas Utility Bill -in R&D Center,Heating
HVAC System Service Contract,Other
Legal Fees - Patent Litigation,Other
General Waste Collection -for Q3 Period,Waste Disposal
Heating Expense -,Heating
Solid Waste Management Fee -,Waste Disposal
Water Supply -,Water
Propane Supply -,Heating
Potable Water Supply -- South America,Water
Electricity Meter Reading -,Electricity
Propane Supply -- R&D Center,Heating
Medical Waste Collection -,Waste Disposal
Monthly Water Usage -- Q3 Period,Water
Energy Supply Charge -for Manufacturing Plant,Electricity
Electric Utility Bill -in R&D Center,Electricity
Heating Expense -,Heating
Monthly Water Usage -- Global HQ,Water
Winter Heating Usage -- Distribution Center,Heating
Electric Utility Bill -- Global HQ,Electricity
Medical Waste Collection -in European Operations,Waste Disposal
Wastewater Discharge Treatment,Other
Non-Hazardous Waste Disposal -- Monthey Facility,Waste Disposal
Bulk Water Purchase -- Global HQ,Water
Solid Waste Management Fee -for Global HQ,Waste Disposal
Heating Fuel Purchase -for R&D Center,Heating
Water Consumption -for Distribution Center,Water
Lighting System Replacement,Other
Potable Water Supply -- Year-End,Water
Bulk Water Purchase -in Asia Pacific,Water
Grid Infrastructure Consulting Fee,Other
Solid Waste Management Fee -for Basel Site,Waste Disposal
Herbicide Product Sales - Europe Region,Other
Heating Expense -in South America,Heating
Raw Water Intake -for European Operations,Water
Fuel Oil Delivery -in European Operations,Heating
Water Supply -in Global HQ,Water
Hazardous Waste Disposal -,Waste Disposal
Water Supply -in Monthey Facility,Water
Energy Supply Charge -- South America,Electricity
Recycling Services -for North America,Waste Disposal
Monthly Water Usage -for Year-End,Water
Recycling Program Audit,Other
Electricity Supply -in Global HQ,Electricity
Energy Efficiency Study,Other
Water Supply -for Asia Pacific,Water
Propane Supply -- Global HQ,Heating
Electricity Meter Reading -,Electricity
Winter Heating Usage -in North America,Heating
Incinerator Maintenance Fee,Other
Potable Water Supply -- Asia Pacific,Water
Monthly Power Usage -for North America,Electricity
Gas Utility Bill -,Heating
Bulk Water Purchase -for Q3 Period,Water
Propane Supply -for Year-End,Heating
Grid Power Purchase -- Q3 Period,Electricity
Raw Water Intake -- R&D Center,Water
Winter Heating Usage -for Monthey Facility,Heating
Monthly Water Usage -for North America,Water
Non-Hazardous Waste Disposal -- Monthey Facility,Waste Disposal
Recycling Services -in North America,Waste Disposal
Wastewater Discharge Treatment,Other
KWh Consumption -for South America,Electricity
Winter Heating Usage -for South America,Heating
Water Consumption -- Basel Site,Water
Propane Supply -for Asia Pacific,Heating
Waste Sorting Equipment Lease,Other
Monthly Water Usage -for North America,Water
Employee Salaries - Month End,Other
Municipal Water Charge -for R&D Center,Water
General Waste Collection -,Waste Disposal
General Waste Collection -in Monthey Facility,Waste Disposal
Marketing Campaign - Digital Ads,Other
Fungicide Product Sales - North America,Other
Emergency Generator Fuel,Other
Medical Waste Collection -- Manufacturing Plant,Waste Disposal
Solid Waste Management Fee -in Q3 Period,Waste Disposal
Potable Water Supply -for Monthey Facility,Water
Water Purity Analysis,Other
Heating Fuel Purchase -,Heating
Winter Heating Usage -for South America,Heating
Energy Supply Charge -- Distribution Center,Electricity
Solid Waste Management Fee -,Waste Disposal
Chemical Waste Disposal -in Distribution Center,Waste Disposal
Medical Waste Collection -,Waste Disposal
Municipal Water Charge -in Manufacturing Plant,Water
Herbicide Product Sales - Europe Region,Other
Monthly Water Usage -for Distribution Center,Water
Power Consumption -for North America,Electricity
Boiler System Repair,Other
IT System Upgrade - Software Licenses,Other
Medical Waste Collection -for South America,Waste Disposal
Steam Generation Gas -- Monthey Facility,Heating
Hazardous Waste Disposal -for Monthey Facility,Waste Disposal
Water Consumption -in South America,Water
Utility Meter Calibration,Other
Heating Fuel Purchase -,Heating
Power Quality Audit Service,Other
Non-Hazardous Waste Disposal -,Waste Disposal
Heating Fuel Purchase -for Distribution Center,Heating
Industrial Waste Pickup -,Waste Disposal
Incinerator Maintenance Fee,Other
Heating Expense -in Basel Site,Heating
Insulation Material Purchase,Other
Raw Water Intake -for Manufacturing Plant,Water
Incinerator Maintenance Fee,Other
KWh Consumption -in Distribution Center,Electricity
Power Consumption -for South America,Electricity
Electricity Supply -for Manufacturing Plant,Electricity
Heating Fuel Purchase -for Basel Site,Heating
Non-Hazardous Waste Disposal -- Distribution Center,Waste Disposal
Electric Utility Bill -in Q3 Period,Electricity
Electricity Supply -,Electricity
Recycling Services -- North America,Waste Disposal
KWh Consumption -for Monthey Facility,Electricity
Raw Water Intake -in South America,Water
Raw Water Intake -in Basel Site,Water
Monthly Water Usage -for North America,Water
Power Consumption -in Manufacturing Plant,Electricity
Solid Waste Management Fee -,Waste Disposal
Bulk Water Purchase -,Water
Medical Waste Collection -in Asia Pacific,Waste Disposal
Solid Waste Management Fee -- South America,Waste Disposal
Industrial Waste Pickup -- Global HQ,Waste Disposal
Municipal Water Charge -- Global HQ,Water
Solid Waste Management Fee -in European Operations,Waste Disposal
Power Consumption -- North America,Electricity
Solid Waste Management Fee -,Waste Disposal
Drainage System Maintenance,Other
Solid Waste Management Fee -for Basel Site,Waste Disposal
Chemical Waste Disposal -for Year-End,Waste Disposal
Non-Hazardous Waste Disposal -for Global HQ,Waste Disposal
Monthly Power Usage -- Manufacturing Plant,Electricity
Recycling Services -for North America,Waste Disposal
General Waste Collection -,Waste Disposal
Natural Gas Supply -for Basel Site,Heating
Power Consumption -in Distribution Center,Electricity
Seeds Product Sales - Latin America,Other
Gas Utility Bill -for Asia Pacific,Heating
Winter Heating Usage -for Distribution Center,Heating
Natural Gas Line Inspection Fee,Other
Potable Water Supply -in South America,Water
Winter Heating Usage -in R&D Center,Heating
Energy Supply Charge -- North America,Electricity
Water Consumption -in Q3 Period,Water
Steam Generation Gas -,Heating
Heating Expense -- Q3 Period,Heating
Medical Waste Collection -in Q3 Period,Waste Disposal
Solid Waste Management Fee -in South America,Waste Disposal
Electricity Meter Reading -- Q3 Period,Electricity
Solid Waste Management Fee -for Manufacturing Plant,Waste Disposal
Non-Hazardous Waste Disposal -,Waste Disposal
Power Consumption -for Monthey Facility,Electricity
Electric Utility Bill -- Basel Site,Electricity
Recycling Services -for Asia Pacific,Waste Disposal
Heating Fuel Purchase -for R&D Center,Heating
Monthly Water Usage -for Year-End,Water
Industrial Waste Pickup -- Manufacturing Plant,Waste Disposal
Non-Hazardous Waste Disposal -,Waste Disposal
Recycling Services -- European Operations,Waste Disposal
Medical Waste Collection -,Waste Disposal
Monthly Water Usage -for Year-End,Water
Bulk Water Purchase -,Water
Employee Salaries - Month End,Other
Electricity Meter Reading -,Electricity
Temperature Control System Upgrade,Other
Monthly Water Usage -for Monthey Facility,Water
Winter Heating Usage -,Heating
Municipal Water Charge -,Water
Raw Water Intake -- Distribution Center,Water
Municipal Water Charge -- North America,Water
Fuel Oil Delivery -for Q3 Period,Heating
Heating Fuel Purchase -- Asia Pacific,Heating
Winter Heating Usage -for Monthey Facility,Heating
Heating Fuel Purchase -in Basel Site,Heating
Heating Expense -- Basel Site,Heating
Energy Supply Charge -in Global HQ,Electricity
Natural Gas Supply -- Q3 Period,Heating
General Waste Collection -for South America,Waste Disposal
Heating Expense -in Asia Pacific,Heating
Natural Gas Supply -in R&D Center,Heating
General Waste Collection -in Global HQ,Waste Disposal
Industrial Waste Pickup -,Waste Disposal
Water Utility Bill -- Basel Site,Water
Electricity Supply -for Manufacturing Plant,Electricity
Power Quality Audit Service,Other
Electricity Supply -- Monthey Facility,Electricity
Grid Power Purchase -,Electricity
Grid Power Purchase -in Monthey Facility,Electricity
Solar Panel Installation Cost,Other
Irrigation System Installation,Other
Gas Utility Bill -in Year-End,Heating
Heating Expense -in Distribution Center,Heating
Municipal Water Charge -,Water
Hazardous Waste Disposal -- Year-End,Waste Disposal
Industrial Waste Pickup -for Asia Pacific,Waste Disposal
Water Utility Bill -,Water
Grid Power Purchase -in Monthey Facility,Electricity
General Waste Collection -,Waste Disposal
Electric Utility Bill -for Year-End,Electricity
Municipal Water Charge -,Water
Fuel Oil Delivery -- R&D Center,Heating
Wastewater Discharge Treatment,Other
Municipal Water Charge -for Global HQ,Water
Environmental Impact Assessment,Other
Water Utility Bill -in R&D Center,Water
Water Utility Bill -,Water
Electrical System Maintenance Contract,Other
General Waste Collection -for Asia Pacific,Waste Disposal
HVAC System Service Contract,Other
Heat Exchanger Cleaning,Other
Fuel Oil Delivery -- European Operations,Heating
Energy Efficiency Study,Other
Travel & Entertainment Expense,Other
Chemical Waste Disposal -for Asia Pacific,Waste Disposal
Industrial Waste Pickup -- European Operations,Waste Disposal
Fuel Oil Delivery -for Distribution Center,Heating
Bulk Water Purchase -,Water
Power Consumption -- R&D Center,Electricity
Solid Waste Management Fee -- Year-End,Waste Disposal
Electric Utility Bill -in Year-End,Electricity
Industrial Waste Pickup -for Monthey Facility,Waste Disposal
Heating Expense -,Heating
Industrial Waste Pickup -- Distribution Center,Waste Disposal
Grid Infrastructure Consulting Fee,Other
Heating Expense -- Asia Pacific,Heating
Electric Utility Bill -in Asia Pacific,Electricity
Industrial Waste Pickup -in Manufacturing Plant,Waste Disposal
Water Supply -in Monthey Facility,Water
Irrigation System Installation,Other
Waste Sorting Equipment Lease,Other
Power Consumption -for Global HQ,Electricity
Irrigation System Installation,Other
Heating Fuel Purchase -,Heating
Electricity Supply -- Distribution Center,Electricity
Power Consumption -in Q3 Period,Electricity
Steam Generation Gas -- North America,Heating
KWh Consumption -in Asia Pacific,Electricity
Recycling Services -,Waste Disposal
Steam Generation Gas -- South America,Heating
Heating Fuel Purchase -- Manufacturing Plant,Heating
Winter Heating Usage -- Global HQ,Heating
Electric Utility Bill -for Basel Site,Electricity
Energy Supply Charge -- North America,Electricity
Water Supply -,Water
Natural Gas Supply -- Q3 Period,Heating
Water Utility Bill -for Monthey Facility,Water
Water Consumption -in Manufacturing Plant,Water
Solid Waste Management Fee -- Monthey Facility,Waste Disposal
Propane Supply -for Q3 Period,Heating
Water Utility Bill -for Year-End,Water
Steam Generation Gas -- Distribution Center,Heating
Electricity Meter Reading -- R&D Center,Electricity
Natural Gas Supply -,Heating
Lighting System Replacement,Other
Gas Utility Bill -for Monthey Facility,Heating
Chemical Waste Disposal -- Q3 Period,Waste Disposal
Transformer Upgrade Project,Other
Non-Hazardous Waste Disposal -,Waste Disposal
Recycling Services -- European Operations,Waste Disposal
Steam Generation Gas -,Heating
Chemical Waste Disposal -- South America,Waste Disposal
Water System Cleaning & Descaling,Other
Natural Gas Supply -,Heating
Water Utility Bill -in Q3 Period,Water
Recycling Services -for Q3 Period,Waste Disposal
Heating Expense -- South America,Heating
Winter Heating Usage -- Asia Pacific,Heating
Winter Heating Usage -- Q3 Period,Heating
Medical Waste Collection -,Waste Disposal
Water Supply -in Manufacturing Plant,Water
Municipal Water Charge -in Global HQ,Water
Environmental Impact Assessment,Other
Industrial Waste Pickup -in Global HQ,Waste Disposal
Recycling Services -- Q3 Period,Waste Disposal
Electrical System Maintenance Contract,Other
Solid Waste Management Fee -in Basel Site,Waste Disposal
Temperature Control System Upgrade,Other
Grid Power Purchase -in Distribution Center,Electricity
Wastewater Discharge Treatment,Other
Monthly Water Usage -,Water
Hazardous Waste Disposal -- Distribution Center,Waste Disposal
Fuel Oil Delivery -,Heating
Water Supply -,Water
Water Supply -- South America,Water
Potable Water Supply -in Monthey Facility,Water
Bulk Water Purchase -for Monthey Facility,Water
Water Consumption -,Water
Electric Utility Bill -,Electricity
Electric Utility Bill -- South America,Electricity
Solid Waste Management Fee -,Waste Disposal
Energy Supply Charge -in South America,Electricity
Natural Gas Supply -- Global HQ,Heating
Heating Expense -,Heating
Municipal Water Charge -,Water
Power Consumption -for Basel Site,Electricity
Winter Heating Usage -- South America,Heating
Electric Utility Bill -in Basel Site,Electricity
Natural Gas Supply -for R&D Center,Heating
Non-Hazardous Waste Disposal -- North America,Waste Disposal
Solid Waste Management Fee -for Monthey Facility,Waste Disposal
Potable Water Supply -in Global HQ,Water
Recycling Services -,Waste Disposal
Water System Cleaning & Descaling,Other
Water Utility Bill -,Water
Gas Utility Bill -in Asia Pacific,Heating
Municipal Water Charge -in South America,Water
Raw Water Intake -- Global HQ,Water
Industrial Waste Pickup -- R&D Center,Waste Disposal
Potable Water Supply -for R&D Center,Water
Irrigation System Installation,Other
Herbicide Product Sales - Europe Region,Other
Wastewater Discharge Treatment,Other
Water Supply -in Monthey Facility,Water
Environmental Impact Assessment,Other
Grid Power Purchase -- Basel Site,Electricity
Fuel Oil Delivery -- European Operations,Heating
Grid Power Purchase -,Electricity
Recycling Services -,Waste Disposal
Non-Hazardous Waste Disposal -,Waste Disposal
Cooling Tower Water Treatment Chemicals,Other
Wastewater Discharge Treatment,Other
Natural Gas Supply -,Heating
Power Consumption -- Global HQ,Electricity
Hazardous Waste Disposal -in Asia Pacific,Waste Disposal
Monthly Power Usage -- European Operations,Electricity
Raw Water Intake -- R&D Center,Water
Monthly Water Usage -for South America,Water
Monthly Power Usage -for R&D Center,Electricity
Non-Hazardous Waste Disposal -- R&D Center,Waste Disposal
Energy Supply Charge -,Electricity
Power Quality Audit Service,Other
Monthly Water Usage -in Monthey Facility,Water
Potable Water Supply -- Q3 Period,Water
General Waste Collection -,Waste Disposal
Propane Supply -for South America,Heating
Electric Utility Bill -- Distribution Center,Electricity
Propane Supply -in Monthey Facility,Heating
Monthly Power Usage -,Electricity
Electricity Supply -for North America,Electricity
Water Supply -- North America,Water
Heat Exchanger Cleaning,Other
Heat Exchanger Cleaning,Other
Solid Waste Management Fee -for R&D Center,Waste Disposal
Electrical System Maintenance Contract,Other
General Waste Collection -in South America,Waste Disposal
Electric Utility Bill -in Monthey Facility,Electricity
Electricity Supply -- North America,Electricity
Heating Fuel Purchase -in Basel Site,Heating
Solid Waste Management Fee -,Waste Disposal
Gas Utility Bill -for Q3 Period,Heating
Recycling Services -,Waste Disposal
Raw Water Intake -in European Operations,Water
Gas Utility Bill -,Heating
Monthly Power Usage -,Electricity
Gas Utility Bill -- Asia Pacific,Heating
Electric Utility Bill -for South America,Electricity
Heating Fuel Purchase -in Year-End,Heating
Grid Infrastructure Consulting Fee,Other
Emergency Generator Fuel,Other
Solid Waste Management Fee -in North America,Waste Disposal
Hazardous Waste Disposal -for Monthey Facility,Waste Disposal
Water Utility Bill -- Global HQ,Water
Water Utility Bill -for Manufacturing Plant,Water
Water Supply -in Manufacturing Plant,Water
Winter Heating Usage -,Heating
Bulk Water Purchase -- South America,Water
Heating Element Replacement,Other
Solid Waste Management Fee -- Monthey Facility,Waste Disposal
Propane Supply -,Heating
General Waste Collection -,Waste Disposal
Fuel Oil Delivery -for South America,Heating
Landfill Site Permit Renewal,Other
Recycling Services -- North America,Waste Disposal
Recycling Services -in South America,Waste Disposal
Waste Sorting Equipment Lease,Other
KWh Consumption -,Electricity
Temperature Control System Upgrade,Other
Hazardous Waste Disposal -,Waste Disposal
Gas Utility Bill -- Basel Site,Heating
Hazardous Waste Disposal -,Waste Disposal
Natural Gas Supply -- Q3 Period,Heating
Landfill Site Permit Renewal,Other
Industrial Waste Pickup -- Manufacturing Plant,Waste Disposal
Water Utility Bill -for Distribution Center,Water
Monthly Water Usage -- Asia Pacific,Water
Chemical Waste Disposal -for Monthey Facility,Waste Disposal
Electricity Meter Reading -for Basel Site,Electricity
General Waste Collection -for Q3 Period,Waste Disposal
Electricity Meter Reading -,Electricity
Wastewater Discharge Treatment,Other
Gas Utility Bill -,Heating
Energy Efficiency Study,Other
Insulation Material Purchase,Other
Non-Hazardous Waste Disposal -- R&D Center,Waste Disposal
General Waste Collection -,Waste Disposal
Electricity Supply -- European Operations,Electricity
Fuel Oil Delivery -for Manufacturing Plant,Heating
Heating Fuel Purchase -for European Operations,Heating
Municipal Water Charge -in Q3 Period,Water
Heating Fuel Purchase -,Heating
Chemical Waste Disposal -for Distribution Center,Waste Disposal
Heating Expense -in R&D Center,Heating
Boiler System Repair,Other
Hazardous Waste Disposal -in Monthey Facility,Waste Disposal
Industrial Waste Pickup -- North America,Waste Disposal
KWh Consumption -- South America,Electricity
Bulk Water Purchase -for Monthey Facility,Water
Monthly Water Usage -in Distribution Center,Water
Water Utility Bill -,Water
Municipal Water Charge -,Water
Municipal Water Charge -,Water
Fuel Oil Delivery -in Monthey Facility,Heating
Heating Expense -- Manufacturing Plant,Heating
Grid Power Purchase -in South America,Electricity
Hazardous Waste Disposal -,Waste Disposal
Winter Heating Usage -in South America,Heating
Recycling Services -for Q3 Period,Waste Disposal
Monthly Water Usage -in Basel Site,Water
Water Consumption -,Water
Incinerator Maintenance Fee,Other
Electric Utility Bill -,Electricity
Incinerator Maintenance Fee,Other
Monthly Water Usage -for Monthey Facility,Water
Lighting System Replacement,Other
Raw Water Intake -,Water
Water Purity Analysis,Other
Steam Generation Gas -- Distribution Center,Heating
Fuel Oil Delivery -in North America,Heating
Solid Waste Management Fee -- South America,Waste Disposal
Electric Utility Bill -in Manufacturing Plant,Electricity
Natural Gas Supply -in European Operations,Heating
Heating Expense -,Heating
Gas Utility Bill -in Asia Pacific,Heating
Electric Utility Bill -for Manufacturing Plant,Electricity
Medical Waste Collection -in South America,Waste Disposal
Winter Heating Usage -,Heating
Power Consumption -- Distribution Center,Electricity
Natural Gas Supply -- South America,Heating
Heating Element Replacement,Other
Raw Water Intake -for Q3 Period,Water
Water Supply -in European Operations,Water
Water Utility Bill -- Distribution Center,Water
Monthly Water Usage -for Distribution Center,Water
Heating Expense -in Global HQ,Heating
General Waste Collection -in European Operations,Waste Disposal
Temperature Control System Upgrade,Other
Grid Power Purchase -in South America,Electricity
Water Utility Bill -for R&D Center,Water
Solar Panel Installation Cost,Other
Propane Supply -,Heating
Water Utility Bill -in South America,Water
Power Consumption -- European Operations,Electricity
Gas Utility Bill -for Q3 Period,Heating
Bulk Water Purchase -for South America,Water
Water Purity Analysis,Other
Power Consumption -for Distribution Center,Electricity
Industrial Waste Pickup -,Waste Disposal
Natural Gas Supply -for South America,Heating
Incinerator Maintenance Fee,Other
Gas Utility Bill -for South America,Heating
Natural Gas Supply -for Basel Site,Heating
Heating Expense -- Monthey Facility,Heating
Employee Salaries - Month End,Other
Hazardous Waste Disposal -- Distribution Center,Waste Disposal
Heating Expense -for Basel Site,Heating
Water Quality Testing Fee,Other
Water Supply -- Monthey Facility,Water
Electric Utility Bill -- Global HQ,Electricity
Non-Hazardous Waste Disposal -for European Operations,Waste Disposal
Non-Hazardous Waste Disposal -- South America,Waste Disposal
Solid Waste Management Fee -in European Operations,Waste Disposal
Water Purity Analysis,Other
Medical Waste Collection -for Asia Pacific,Waste Disposal
Water Utility Bill -in Manufacturing Plant,Water
Waste Management Consulting Service,Other
Waste Management Consulting Service,Other
Steam Generation Gas -for R&D Center,Heating
Power Quality Audit Service,Other
Heating Expense -in Manufacturing Plant,Heating
Potable Water Supply -- Basel Site,Water
Electricity Supply -- Distribution Center,Electricity
Hazardous Waste Disposal -,Waste Disposal
Electricity Meter Reading -in Distribution Center,Electricity
Natural Gas Supply -- Asia Pacific,Heating
Water Consumption -- Distribution Center,Water
Natural Gas Supply -in South America,Heating
Monthly Power Usage -,Electricity
Legal Fees - Patent Litigation,Other
Boiler System Repair,Other
Electricity Supply -- South America,Electricity
Water Consumption -in Global HQ,Water
Emergency Generator Fuel,Other
Heating Expense -- Q3 Period,Heating
Cooling Tower Water Treatment Chemicals,Other
Legal Fees - Patent Litigation,Other
Municipal Water Charge -- Basel Site,Water
Seeds Product Sales - Latin America,Other
Raw Water Intake -,Water
Electricity Meter Reading -,Electricity
Monthly Water Usage -,Water
Solar Panel Installation Cost,Other
Natural Gas Line Inspection Fee,Other
Monthly Water Usage -- Distribution Center,Water
Heating Fuel Purchase -in Basel Site,Heating
Energy Supply Charge -- Basel Site,Electricity
General Waste Collection -for Monthey Facility,Waste Disposal
Industrial Waste Pickup -- South America,Waste Disposal
Municipal Water Charge -- R&D Center,Water
Steam Generation Gas -- Distribution Center,Heating
General Waste Collection -- Global HQ,Waste Disposal
Potable Water Supply -,Water
Raw Water Intake -- South America,Water
KWh Consumption -in Asia Pacific,Electricity
Heating Expense -for Global HQ,Heating
Hazardous Waste Disposal -in Q3 Period,Waste Disposal
Electrical System Maintenance Contract,Other
Emergency Generator Fuel,Other
Steam Generation Gas -in Global HQ,Heating
Water Consumption -in R&D Center,Water
Monthly Power Usage -for Basel Site,Electricity
Lighting System Replacement,Other
Medical Waste Collection -for North America,Waste Disposal
Winter Heating Usage -,Heating
Water Purity Analysis,Other
Non-Hazardous Waste Disposal -for Manufacturing Plant,Waste Disposal
Bulk Water Purchase -,Water
Grid Infrastructure Consulting Fee,Other
Energy Supply Charge -- Basel Site,Electricity
Fuel Oil Delivery -,Heating
Propane Supply -,Heating
Chemical Waste Disposal -in Global HQ,Waste Disposal
Non-Hazardous Waste Disposal -in Basel Site,Waste Disposal
Municipal Water Charge -in Manufacturing Plant,Water
General Waste Collection -- Manufacturing Plant,Waste Disposal
Monthly Power Usage -- Monthey Facility,Electricity
General Waste Collection -for Asia Pacific,Waste Disposal
Bulk Water Purchase -,Water
Medical Waste Collection -- European Operations,Waste Disposal
Potable Water Supply -,Water
Emergency Generator Fuel,Other
Electricity Supply -for Year-End,Electricity
Water Supply -in European Operations,Water
Solid Waste Management Fee -for Distribution Center,Waste Disposal
Heating Expense -for South America,Heating
Power Consumption -- European Operations,Electricity
Fuel Oil Delivery -- Monthey Facility,Heating
Hazardous Waste Disposal -for Asia Pacific,Waste Disposal
Fuel Oil Delivery -in Manufacturing Plant,Heating
Potable Water Supply -for Distribution Center,Water
Water Purity Analysis,Other
Landfill Site Permit Renewal,Other
Hazardous Waste Disposal -for Manufacturing Plant,Waste Disposal
Recycling Services -in European Operations,Waste Disposal
Bulk Water Purchase -in Global HQ,Water
Monthly Water Usage -for Year-End,Water
Water Purity Analysis,Other
Steam Generation Gas -- South America,Heating
Heating Fuel Purchase -for European Operations,Heating
Electric Utility Bill -in South America,Electricity
Monthly Water Usage -- Manufacturing Plant,Water
Water Supply -- Global HQ,Water
Municipal Water Charge -,Water
Energy Supply Charge -for European Operations,Electricity
Gas Utility Bill -- Asia Pacific,Heating
Heat Exchanger Cleaning,Other
Medical Waste Collection -in R&D Center,Waste Disposal
Legal Fees - Patent Litigation,Other
Heating Expense -- Asia Pacific,Heating
KWh Consumption -- R&D Center,Electricity
Heating Expense -for North America,Heating
Industrial Waste Pickup -in R&D Center,Waste Disposal
Gas Utility Bill -in Asia Pacific,Heating
Solid Waste Management Fee -- Year-End,Waste Disposal
Chemical Waste Disposal -,Waste Disposal
Steam Generation Gas -- Year-End,Heating
Propane Supply -- Distribution Center,Heating
Electricity Supply -- R&D Center,Electricity
KWh Consumption -in Year-End,Electricity
Waste Management Consulting Service,Other
Municipal Water Charge -- Manufacturing Plant,Water
Electric Utility Bill -for R&D Center,Electricity
KWh Consumption -,Electricity
Electricity Meter Reading -in Monthey Facility,Electricity
Municipal Water Charge -- Distribution Center,Water
Grid Power Purchase -for Q3 Period,Electricity
Recycling Services -in Manufacturing Plant,Waste Disposal
Transformer Upgrade Project,Other
Electricity Meter Reading -in North America,Electricity
Electric Utility Bill -in Global HQ,Electricity
Non-Hazardous Waste Disposal -,Waste Disposal
KWh Consumption -,Electricity
Chemical Waste Disposal -- Distribution Center,Waste Disposal
Heating Expense -in Q3 Period,Heating
KWh Consumption -- R&D Center,Electricity
Gas Utility Bill -in Global HQ,Heating
Winter Heating Usage -for Year-End,Heating
Drainage System Maintenance,Other
Bulk Water Purchase -,Water
Hazardous Waste Disposal -in R&D Center,Waste Disposal
Water Utility Bill -in Basel Site,Water
Power Consumption -- Global HQ,Electricity
Marketing Campaign - Digital Ads,Other
Natural Gas Supply -for Monthey Facility,Heating
Bulk Water Purchase -- Q3 Period,Water
Propane Supply -- South America,Heating
Heating Fuel Purchase -- Global HQ,Heating
Natural Gas Supply -- Monthey Facility,Heating
Chemical Waste Disposal -- Basel Site,Waste Disposal
Chemical Waste Disposal -- South America,Waste Disposal
